EST,Mean TemperatureF, Events
2015-1-1,33,
2015-1-2,39,
2015-1-3,38,Rain-Snow
2015-1-4,49,Rain
2015-1-5,35,
2015-1-6,21,Snow
2015-1-7,16,
2015-1-8,15,
2015-1-9,26,Snow
2015-1-10,20,
2015-1-11,28,
2015-1-12,37,Rain
2015-1-13,27,
2015-1-14,24,
2015-1-15,30,
2015-1-16,32,
2015-1-17,25,
2015-1-18,37,Fog-Rain
2015-1-19,39,
2015-1-20,36,
2015-1-21,31,
2015-1-22,36,
2015-1-23,34,
2015-1-24,36,Fog-Rain-Snow
2015-1-25,37,
2015-1-26,27,Fog-Snow
2015-1-27,25,Fog-Snow
2015-1-28,25,
2015-1-29,28,Snow
2015-1-30,29,Snow
2015-1-31,20,
2015-2-1,28,Snow
2015-2-2,24,Fog-Rain-Snow
2015-2-3,20,
2015-2-4,34,
2015-2-5,28,
2015-2-6,20,
2015-2-7,33,Snow
2015-2-8,33,
2015-2-9,27,
2015-2-10,33,Snow
2015-2-11,28,
2015-2-12,28,Snow
2015-2-13,15,
2015-2-14,24,Snow
2015-2-15,15,Snow
2015-2-16,12,
2015-2-17,21,Snow
2015-2-18,26,Snow
2015-2-19,18,
2015-2-20,11,
2015-2-21,23,Fog-Rain-Snow
2015-2-22,38,Rain-Snow
2015-2-23,23,
2015-2-24,14,
2015-2-25,29,
2015-2-26,27,
2015-2-27,24,
2015-2-28,21,
2015-3-1,28,Fog-Snow
2015-3-2,33,
2015-3-3,30,Rain-Snow
2015-3-4,40,Rain
2015-3-5,30,Fog-Rain-Snow
2015-3-6,20,
2015-3-7,28,
2015-3-8,43,
2015-3-9,47,Rain
2015-3-10,46,Rain
2015-3-11,52,Rain
2015-3-12,42,
2015-3-13,37,
2015-3-14,46,Rain
2015-3-15,40,
2015-3-16,44,
2015-3-17,46,Rain
2015-3-18,34,
2015-3-19,36,
2015-3-20,34,Fog-Snow
2015-3-21,38,
2015-3-22,36,
2015-3-23,31,
2015-3-24,36,
2015-3-25,42,Rain
2015-3-26,52,Rain
2015-3-27,43,Rain
2015-3-28,33,Snow
2015-3-29,36,
2015-3-30,45,Snow
2015-3-31,41,Rain
2015-4-1,42,
2015-4-2,54,
2015-4-3,62,Rain
2015-4-4,51,Rain
2015-4-5,52,
2015-4-6,53,
2015-4-7,52,Rain
2015-4-8,41,
2015-4-9,40,
2015-4-10,48,Rain
2015-4-11,51,
2015-4-12,55,
2015-4-13,59,
2015-4-14,60,
2015-4-15,62,
2015-4-16,58,
2015-4-17,63,Rain
2015-4-18,70,
2015-4-19,56,
2015-4-20,52,Fog-Rain
2015-4-21,59,Rain
2015-4-22,59,Rain
2015-4-23,47,
2015-4-24,46,
2015-4-25,50,
2015-4-26,55,
2015-4-27,56,
2015-4-28,61,
2015-4-29,64,
2015-4-30,58,
2015-5-1,56,
2015-5-2,61,
2015-5-3,66,
2015-5-4,71,
2015-5-5,76,
2015-5-6,66,
2015-5-7,68,
2015-5-8,69,
2015-5-9,64,
2015-5-10,72,
2015-5-11,77,Rain
2015-5-12,75,
2015-5-13,62,
2015-5-14,62,
2015-5-15,65,
2015-5-16,66,Rain
2015-5-17,74,Rain
2015-5-18,68,
2015-5-19,70,Rain
2015-5-20,61,
2015-5-21,57,
2015-5-22,65,
2015-5-23,60,
2015-5-24,69,
2015-5-25,75,
2015-5-26,78,
2015-5-27,78,Rain
2015-5-28,78,
2015-5-29,75,
2015-5-30,76,
2015-5-31,72,Fog-Rain
2015-6-1,55,Rain
2015-6-2,53,Rain
2015-6-3,61,
2015-6-4,60,
2015-6-5,63,Rain
2015-6-6,68,Rain
2015-6-7,65,
2015-6-8,71,Rain
2015-6-9,76,Rain
2015-6-10,74,
2015-6-11,81,
2015-6-12,81,
2015-6-13,79,
2015-6-14,77,Rain
2015-6-15,74,Rain
2015-6-16,72,Rain
2015-6-17,74,Rain
2015-6-18,68,
2015-6-19,78,
2015-6-20,70,Rain
2015-6-21,80,Rain
2015-6-22,79,
2015-6-23,83,
2015-6-24,76,
2015-6-25,74,
2015-6-26,75,
2015-6-27,65,Rain
2015-6-28,68,Rain
2015-6-29,70,
2015-6-30,75,
2015-7-1,76,Fog-Rain
2015-7-2,75,
2015-7-3,74,
2015-7-4,72,Rain
2015-7-5,76,
2015-7-6,78,
2015-7-7,82,Fog-Rain
2015-7-8,83,
2015-7-9,74,Rain
2015-7-10,78,
2015-7-11,79,
2015-7-12,81,
2015-7-13,81,
2015-7-14,78,Fog-Rain
2015-7-15,77,Fog-Rain
2015-7-16,72,
2015-7-17,74,
2015-7-18,78,Fog-Rain
2015-7-19,86,
2015-7-20,88,
2015-7-21,82,
2015-7-22,77,
2015-7-23,77,
2015-7-24,79,
2015-7-25,79,
2015-7-26,82,
2015-7-27,79,Rain
2015-7-28,85,
2015-7-29,87,
2015-7-30,82,Fog-Rain
2015-7-31,81,
2015-8-1,82,
2015-8-2,80,
2015-8-3,83,
2015-8-4,79,Fog-Rain
2015-8-5,80,
2015-8-6,75,
2015-8-7,77,
2015-8-8,75,
2015-8-9,77,
2015-8-10,77,
2015-8-11,76,Rain
2015-8-12,78,
2015-8-13,75,
2015-8-14,78,
2015-8-15,83,
2015-8-16,85,
2015-8-17,87,
2015-8-18,82,Rain
2015-8-19,82,
2015-8-20,82,
2015-8-21,79,Rain
2015-8-22,78,
2015-8-23,78,
