GeoType,GeogName,GeoID,Borough,PUMA,ComDst,PopE,PopM,PopC,PopP,PopZ,MaleE,MaleM,MaleC,MaleP,MaleZ,FemE,FemM,FemC,FemP,FemZ,PopU5E,PopU5M,PopU5C,PopU5P,PopU5Z,Pop5t9E,Pop5t9M,Pop5t9C,Pop5t9P,Pop5t9Z,Pop10t14E,Pop10t14M,Pop10t14C,Pop10t14P,Pop10t14Z,Pop15t19E,Pop15t19M,Pop15t19C,Pop15t19P,Pop15t19Z,Pop20t24E,Pop20t24M,Pop20t24C,Pop20t24P,Pop20t24Z,Pop25t34E,Pop25t34M,Pop25t34C,Pop25t34P,Pop25t34Z,Pop35t44E,Pop35t44M,Pop35t44C,Pop35t44P,Pop35t44Z,Pop45t54E,Pop45t54M,Pop45t54C,Pop45t54P,Pop45t54Z,Pop55t59E,Pop55t59M,Pop55t59C,Pop55t59P,Pop55t59Z,Pop60t64E,Pop60t64M,Pop60t64C,Pop60t64P,Pop60t64Z,Pop65t74E,Pop65t74M,Pop65t74C,Pop65t74P,Pop65t74Z,Pop75t84E,Pop75t84M,Pop75t84C,Pop75t84P,Pop75t84Z,Pop85plE,Pop85plM,Pop85plC,Pop85plP,Pop85plZ,MdAgeE,MdAgeM,MdAgeC,MdAgeP,MdAgeZ,Pop18plE,Pop18plM,Pop18plC,Pop18plP,Pop18plZ,Pop18plME,Pop18plMM,Pop18plMC,Pop18plMP,Pop18plMZ,Pop18plFE,Pop18plFM,Pop18plFC,Pop18plFP,Pop18plFZ,Pop65plE,Pop65plM,Pop65plC,Pop65plP,Pop65plZ,Pop65plME,Pop65plMM,Pop65plMC,Pop65plMP,Pop65plMZ,Pop65plFE,Pop65plFM,Pop65plFC,Pop65plFP,Pop65plFZ,PopE,PopM,PopC,PopP,PopZ,HspE,HspM,HspC,HspP,HspZ,HspMexE,HspMexM,HspMexC,HspMexP,HspMexZ,HspPRE,HspPRM,HspPRC,HspPRP,HspPRZ,HspCubE,HspCubM,HspCubC,HspCubP,HspCubZ,HspOthE,HspOthM,HspOthC,HspOthP,HspOthZ,NHspE,NHspM,NHspC,NHspP,NHspZ,WtNHE,WtNHM,WtNHC,WtNHP,WtNHZ,BlNHE,BlNHM,BlNHC,BlNHP,BlNHZ,AIANNHE,AIANNHM,AIANNHC,AIANNHP,AIANNHZ,AsnNHE,AsnNHM,AsnNHC,AsnNHP,AsnNHZ,NHPINHE,NHPINHM,NHPINHC,NHPINHP,NHPINHZ,OthNHE,OthNHM,OthNHC,OthNHP,OthNHZ,Rc2plNHE,Rc2plNHM,Rc2plNHC,Rc2plNHP,Rc2plNHZ,Asn1RcE,Asn1RcM,Asn1RcC,Asn1RcP,Asn1RcZ,AsnIndE,AsnIndM,AsnIndC,AsnIndP,AsnIndZ,AsnChiE,AsnChiM,AsnChiC,AsnChiP,AsnChiZ,AsnFlpE,AsnFlpM,AsnFlpC,AsnFlpP,AsnFlpZ,AsnJpnE,AsnJpnM,AsnJpnC,AsnJpnP,AsnJpnZ,AsnKorE,AsnKorM,AsnKorC,AsnKorP,AsnKorZ,AsnVtnE,AsnVtnM,AsnVtnC,AsnVtnP,AsnVtnZ,OthAsnE,OthAsnM,OthAsnC,OthAsnP,OthAsnZ
NTA2010,Brooklyn Heights-Cobble Hill                                   ,BK09,Brooklyn,4004,BK Community District 2,"23,945","1,097",2.8,100.0,,"11,834",744,3.8,49.4,2.1,"12,111",621,3.1,50.6,1.2,"1,640",287,10.6,6.8,1.2,693,171,15.0,2.9,0.7,567,204,21.8,2.4,0.8,"1,089",304,17.0,4.5,1.3,"1,338",303,13.8,5.6,1.2,"5,746",550,5.8,24.0,2.0,"4,327",462,6.5,18.1,1.7,"2,814",385,8.3,11.8,1.5,"1,403",274,11.9,5.9,1.1,"1,240",230,11.3,5.2,0.9,"1,596",237,9.0,6.7,0.9,936,220,14.3,3.9,0.9,556,200,21.8,2.3,0.8,36.9,1.1,1.8,,,"20,645",851,2.5,100.0,,"10,022",579,3.5,48.5,2.0,"10,623",527,3.0,51.5,1.4,"3,088",308,6.1,100.0,,"1,332",238,10.9,43.1,6.4,"1,756",248,8.6,56.9,5.7,"23,945","1,097",2.8,100.0,,"1,866",403,13.1,7.8,1.6,167,94,34.2,0.7,0.4,556,197,21.6,2.3,0.8,60,73,73.7,0.3,0.3,"1,083",321,18.0,4.5,1.3,"22,079","1,058",2.9,92.2,1.3,"18,242",892,3.0,76.2,1.3,"1,171",310,16.1,4.9,1.3,15,25,101.3,0.1,0.1,"1,607",350,13.2,6.7,1.4,0,,,0.0,,22,27,75.4,0.1,0.1,"1,022",347,20.6,4.3,1.4,"1,648",354,13.1,100.0,,254,116,27.7,15.4,6.2,734,247,20.5,44.5,11.5,105,62,35.8,6.4,3.5,98,77,47.7,5.9,4.5,234,120,31.1,14.2,6.6,35,36,61.7,2.1,2.1,188,146,47.1,11.4,8.5
NTA2010,Sheepshead Bay-Gerritsen Beach-Manhattan Beac                  ,BK17,Brooklyn,4016,BK Community District 15,"63,033","1,656",1.6,100.0,,"28,915","1,046",2.2,45.9,1.1,"34,118","1,164",2.1,54.1,1.2,"3,012",480,9.7,4.8,0.8,"3,309",405,7.4,5.2,0.6,"3,547",473,8.1,5.6,0.7,"3,122",399,7.8,5.0,0.6,"3,857",477,7.5,6.1,0.7,"7,362",653,5.4,11.7,1.0,"8,309",649,4.7,13.2,1.0,"9,627",673,4.3,15.3,1.0,"4,695",466,6.0,7.4,0.7,"4,381",440,6.1,7.0,0.7,"5,847",457,4.7,9.3,0.7,"3,385",376,6.8,5.4,0.6,"2,580",336,7.9,4.1,0.5,43.8,1.0,1.4,,,"51,145","1,233",1.5,100.0,,"23,041",798,2.1,45.1,1.1,"28,104",830,1.8,54.9,0.9,"11,812",649,3.3,100.0,,"4,760",379,4.8,40.3,2.3,"7,052",468,4.0,59.7,2.2,"63,033","1,656",1.6,100.0,,"4,562",742,9.9,7.2,1.2,726,326,27.3,1.2,0.5,"1,857",500,16.4,2.9,0.8,327,308,57.2,0.5,0.5,"1,652",505,18.6,2.6,0.8,"58,471","1,719",1.8,92.8,1.2,"44,000","1,512",2.1,69.8,1.5,"3,888",741,11.6,6.2,1.2,37,48,79.4,0.1,0.1,"10,015","1,234",7.5,15.9,1.9,99,152,93.3,0.2,0.2,40,37,56.9,0.1,0.1,392,316,49.1,0.6,0.5,"10,029","1,235",7.5,100.0,,359,175,29.6,3.6,1.7,"7,704","1,106",8.7,76.8,5.7,135,106,47.6,1.3,1.0,0,,,0.0,,48,43,53.9,0.5,0.4,342,329,58.5,3.4,3.3,"1,441",493,20.8,14.4,4.6
NTA2010,Brighton Beach                                                 ,BK19,Brooklyn,4018,BK Community District 13,"32,442","1,378",2.6,100.0,,"15,228",869,3.5,46.9,1.8,"17,214",798,2.8,53.1,1.0,"1,715",392,13.9,5.3,1.2,"1,663",330,12.1,5.1,1.0,"1,305",260,12.1,4.0,0.8,"1,553",291,11.4,4.8,0.9,"1,961",336,10.4,6.0,1.0,"4,446",566,7.7,13.7,1.6,"3,759",470,7.6,11.6,1.4,"4,529",483,6.5,14.0,1.4,"2,186",337,9.4,6.7,1.0,"2,277",336,9.0,7.0,1.0,"2,914",404,8.4,9.0,1.2,"3,217",358,6.8,9.9,1.0,917,211,14.0,2.8,0.6,44.5,1.6,2.1,,,"26,813",982,2.2,100.0,,"12,199",654,3.3,45.5,1.8,"14,614",604,2.5,54.5,1.0,"7,048",598,5.2,100.0,,"2,591",317,7.4,36.8,3.2,"4,457",415,5.7,63.2,2.4,"32,442","1,378",2.6,100.0,,"4,334",851,11.9,13.4,2.6,"2,004",641,19.4,6.2,2.0,677,254,22.8,2.1,0.8,2,4,121.6,0.0,,"1,651",549,20.2,5.1,1.7,"28,108","1,268",2.7,86.6,1.3,"22,463","1,148",3.1,69.2,2.0,419,247,35.9,1.3,0.8,158,163,62.8,0.5,0.5,"4,413",776,10.7,13.6,2.3,0,,,0.0,,0,,,0.0,,655,325,30.2,2.0,1.0,"4,413",776,10.7,100.0,,"1,006",373,22.6,22.8,7.4,"1,289",508,24.0,29.2,10.3,529,256,29.5,12.0,5.4,0,,,0.0,,49,45,56.2,1.1,1.0,163,108,40.2,3.7,2.4,"1,377",450,19.9,31.2,8.6
NTA2010,Seagate-Coney Island                                           ,BK21,Brooklyn,4018,BK Community District 13,"28,748","1,321",2.8,100.0,,"13,178",892,4.1,45.8,2.3,"15,570",894,3.5,54.2,1.9,"1,475",328,13.5,5.1,1.1,"1,691",324,11.7,5.9,1.1,"1,678",323,11.7,5.8,1.1,"2,454",409,10.1,8.5,1.4,"2,285",390,10.4,7.9,1.3,"2,897",414,8.7,10.1,1.4,"2,856",390,8.3,9.9,1.3,"3,837",448,7.1,13.3,1.4,"1,772",307,10.5,6.2,1.0,"1,708",291,10.4,5.9,1.0,"2,984",389,7.9,10.4,1.3,"2,206",293,8.1,7.7,1.0,905,202,13.5,3.1,0.7,42.0,1.7,2.5,,,"22,492",946,2.6,100.0,,"10,187",710,4.2,45.3,2.5,"12,305",586,2.9,54.7,1.2,"6,095",466,4.6,100.0,,"2,487",278,6.8,40.8,3.3,"3,608",331,5.6,59.2,3.0,"28,748","1,321",2.8,100.0,,"6,108",935,9.3,21.2,3.1,477,291,37.1,1.7,1.0,"4,175",836,12.2,14.5,2.8,126,102,49.3,0.4,0.4,"1,330",386,17.6,4.6,1.3,"22,640","1,311",3.5,78.8,2.8,"8,668",826,5.8,30.2,2.5,"9,798","1,073",6.7,34.1,3.4,27,26,59.2,0.1,0.1,"3,732",867,14.1,13.0,3.0,28,36,77.3,0.1,0.1,275,407,90.1,1.0,1.4,112,80,43.5,0.4,0.3,"3,732",867,14.1,100.0,,287,276,58.5,7.7,7.2,"2,929",795,16.5,78.5,11.0,0,,,0.0,,8,12,88.9,0.2,0.3,47,49,63.2,1.3,1.3,130,186,87.1,3.5,4.9,331,259,47.5,8.9,6.6
NTA2010,West Brighton                                                  ,BK23,Brooklyn,4018,BK Community District 13,"15,309",745,3.0,100.0,,"6,253",443,4.3,40.8,2.1,"9,056",488,3.3,59.2,1.4,445,182,24.8,2.9,1.2,448,128,17.3,2.9,0.8,359,121,20.5,2.3,0.8,270,123,27.7,1.8,0.8,583,192,20.0,3.8,1.2,"1,308",321,14.9,8.5,2.1,"1,719",290,10.2,11.2,1.8,"1,958",309,9.6,12.8,1.9,"1,295",277,13.0,8.5,1.8,"1,456",308,12.9,9.5,2.0,"2,583",388,9.1,16.9,2.4,"2,085",353,10.3,13.6,2.2,800,188,14.3,5.2,1.2,57.2,1.6,1.7,,,"13,908",646,2.8,100.0,,"5,692",415,4.4,40.9,2.3,"8,216",414,3.1,59.1,1.2,"5,468",447,5.0,100.0,,"2,001",263,8.0,36.6,3.8,"3,467",308,5.4,63.4,2.2,"15,309",745,3.0,100.0,,121,113,56.8,0.8,0.7,1,2,121.6,0.0,,22,29,79.2,0.1,0.2,52,83,97.0,0.3,0.5,46,71,93.8,0.3,0.5,"15,188",767,3.1,99.2,1.3,"14,894",788,3.2,97.3,2.0,163,113,42.0,1.1,0.7,0,,,0.0,,102,101,60.2,0.7,0.7,0,,,0.0,,0,,,0.0,,29,36,75.5,0.2,0.2,102,101,60.2,100.0,,0,,,0.0,,93,97,63.4,91.2,29.9,9,14,94.6,8.8,10.6,0,,,0.0,,0,,,0.0,,0,,,0.0,,0,,,0.0,
NTA2010,Homecrest                                                      ,BK25,Brooklyn,4016,BK Community District 15,"43,198","1,530",2.2,100.0,,"21,258",920,2.6,49.2,1.2,"21,940",864,2.4,50.8,0.9,"3,057",433,8.6,7.1,1.0,"2,970",382,7.8,6.9,0.8,"3,243",398,7.5,7.5,0.9,"2,756",338,7.5,6.4,0.8,"2,669",382,8.7,6.2,0.9,"6,049",541,5.4,14.0,1.2,"5,777",542,5.7,13.4,1.2,"5,276",475,5.5,12.2,1.0,"2,462",312,7.7,5.7,0.7,"2,345",306,7.9,5.4,0.7,"3,549",409,7.0,8.2,0.9,"2,110",290,8.3,4.9,0.6,935,178,11.6,2.2,0.4,36.4,1.1,1.9,,,"32,104",933,1.8,100.0,,"15,867",643,2.5,49.4,1.4,"16,237",512,1.9,50.6,0.6,"6,594",484,4.5,100.0,,"2,887",286,6.0,43.8,2.9,"3,707",304,5.0,56.2,2.1,"43,198","1,530",2.2,100.0,,"3,237",751,14.1,7.5,1.7,"1,045",433,25.2,2.4,1.0,640,290,27.5,1.5,0.7,43,57,80.6,0.1,0.1,"1,509",510,20.6,3.5,1.2,"39,961","1,530",2.3,92.5,1.3,"34,130","1,470",2.6,79.0,1.9,419,162,23.5,1.0,0.4,37,34,55.9,0.1,0.1,"4,589",800,10.6,10.6,1.8,0,,,0.0,,144,114,47.9,0.3,0.3,642,460,43.5,1.5,1.1,"4,596",801,10.6,100.0,,692,379,33.3,15.1,7.8,"2,588",546,12.8,56.3,6.7,280,331,71.8,6.1,7.1,0,,,0.0,,235,186,48.0,5.1,3.9,44,62,85.4,1.0,1.3,757,352,28.3,16.5,7.1
NTA2010,Gravesend                                                      ,BK26,Brooklyn,4018,BK Community District 13,"28,502","1,164",2.5,100.0,,"13,156",705,3.3,46.2,1.6,"15,346",716,2.8,53.8,1.2,"1,600",332,12.6,5.6,1.1,"1,346",274,12.4,4.7,0.9,"1,542",292,11.5,5.4,1.0,"1,608",305,11.5,5.6,1.0,"1,616",316,11.9,5.7,1.1,"3,760",502,8.1,13.2,1.7,"3,689",474,7.8,12.9,1.6,"3,396",395,7.1,11.9,1.3,"1,971",332,10.2,6.9,1.1,"1,879",295,9.5,6.6,1.0,"3,152",433,8.4,11.1,1.5,"1,816",310,10.4,6.4,1.1,"1,127",295,15.9,4.0,1.0,42.5,1.5,2.2,,,"22,993",811,2.1,100.0,,"10,410",532,3.1,45.3,1.7,"12,583",561,2.7,54.7,1.5,"6,095",497,5.0,100.0,,"2,719",321,7.2,44.6,3.8,"3,376",304,5.5,55.4,2.1,"28,502","1,164",2.5,100.0,,"3,850",698,11.0,13.5,2.4,969,462,29.0,3.4,1.6,"1,735",465,16.3,6.1,1.6,52,53,61.5,0.2,0.2,"1,094",419,23.3,3.8,1.5,"24,652","1,190",2.9,86.5,2.2,"15,333",863,3.4,53.8,2.1,"2,148",450,12.7,7.5,1.5,128,174,82.6,0.4,0.6,"6,836",962,8.6,24.0,3.2,0,,,0.0,,15,23,93.2,0.1,0.1,192,124,39.2,0.7,0.4,"6,836",962,8.6,100.0,,480,208,26.3,7.0,2.9,"5,169",889,10.5,75.6,7.5,130,198,92.8,1.9,2.9,8,12,91.2,0.1,0.2,86,97,68.8,1.3,1.4,115,160,84.5,1.7,2.3,848,428,30.6,12.4,6.0
NTA2010,Bath Beach                                                     ,BK27,Brooklyn,4017,BK Community District 11,"29,356","1,352",2.8,100.0,,"14,907",850,3.5,50.8,1.7,"14,449",697,2.9,49.2,0.7,"1,760",336,11.6,6.0,1.1,"1,634",301,11.2,5.6,1.0,"1,441",285,12.0,4.9,0.9,"1,253",239,11.6,4.3,0.8,"1,682",296,10.7,5.7,1.0,"5,086",717,8.6,17.3,2.3,"3,956",466,7.2,13.5,1.5,"3,618",416,7.0,12.3,1.3,"1,914",279,8.9,6.5,0.9,"1,843",317,10.5,6.3,1.0,"2,683",337,7.6,9.1,1.1,"1,777",280,9.6,6.1,0.9,709,157,13.4,2.4,0.5,39.4,1.4,2.1,,,"23,728",982,2.5,100.0,,"11,790",666,3.4,49.7,1.9,"11,938",496,2.5,50.3,0.2,"5,169",423,5.0,100.0,,"2,295",262,6.9,44.4,3.5,"2,874",267,5.7,55.6,2.5,"29,356","1,352",2.8,100.0,,"3,862",873,13.7,13.2,2.9,811,405,30.4,2.8,1.4,"1,338",333,15.2,4.6,1.1,48,41,51.7,0.2,0.1,"1,665",723,26.4,5.7,2.4,"25,494","1,254",3.0,86.8,1.5,"15,487",999,3.9,52.8,2.4,487,329,41.1,1.7,1.1,63,80,76.8,0.2,0.3,"9,139","1,084",7.2,31.1,3.4,0,,,0.0,,74,62,50.7,0.3,0.2,244,132,32.8,0.8,0.4,"9,165","1,093",7.2,100.0,,119,118,60.1,1.3,1.3,"7,895","1,026",7.9,86.1,4.5,162,108,40.6,1.8,1.2,16,30,114.0,0.2,0.3,77,51,40.3,0.8,0.5,46,83,109.7,0.5,0.9,850,439,31.4,9.3,4.7
NTA2010,Bensonhurst West                                               ,BK28,Brooklyn,4017,BK Community District 11,"88,895","2,158",1.5,100.0,,"43,140","1,352",1.9,48.5,1.0,"45,755","1,295",1.7,51.5,0.7,"5,566",552,6.0,6.3,0.6,"4,691",500,6.5,5.3,0.5,"4,834",475,6.0,5.4,0.5,"5,245",497,5.8,5.9,0.5,"6,093",596,5.9,6.9,0.6,"14,833",987,4.0,16.7,1.0,"11,523",717,3.8,13.0,0.7,"11,775",743,3.8,13.2,0.8,"5,651",502,5.4,6.4,0.5,"5,140",472,5.6,5.8,0.5,"7,092",556,4.8,8.0,0.6,"4,189",405,5.9,4.7,0.4,"2,263",323,8.7,2.5,0.4,37.8,0.9,1.4,,,"70,429","1,629",1.4,100.0,,"33,940","1,060",1.9,48.2,1.0,"36,489",986,1.6,51.8,0.7,"13,544",755,3.4,100.0,,"5,695",407,4.3,42.0,1.9,"7,849",501,3.9,58.0,1.8,"88,895","2,158",1.5,100.0,,"13,024","1,571",7.3,14.7,1.7,"4,840","1,155",14.5,5.4,1.3,"2,683",566,12.8,3.0,0.6,288,140,29.6,0.3,0.2,"5,213","1,083",12.6,5.9,1.2,"75,871","2,024",1.6,85.3,0.9,"41,020","1,605",2.4,46.1,1.4,558,201,21.9,0.6,0.2,183,124,41.4,0.2,0.1,"33,185","1,780",3.3,37.3,1.8,0,,,0.0,,170,176,63.0,0.2,0.2,755,233,18.8,0.8,0.3,"33,371","1,781",3.2,100.0,,899,327,22.1,2.7,1.0,"28,910","1,708",3.6,86.6,2.2,167,120,43.8,0.5,0.4,67,82,74.4,0.2,0.2,266,141,32.2,0.8,0.4,566,258,27.7,1.7,0.8,"2,496",651,15.9,7.5,1.9
NTA2010,Bensonhurst East                                               ,BK29,Brooklyn,4017,BK Community District 11,"60,022","1,637",1.7,100.0,,"29,444","1,007",2.1,49.1,1.0,"30,578",980,1.9,50.9,0.9,"3,327",430,7.9,5.5,0.7,"3,234",412,7.8,5.4,0.7,"2,487",331,8.1,4.1,0.5,"2,956",354,7.3,4.9,0.6,"4,042",475,7.1,6.7,0.8,"9,897",765,4.7,16.5,1.2,"8,067",643,4.8,13.4,1.0,"8,001",602,4.6,13.3,0.9,"4,136",411,6.0,6.9,0.7,"3,531",394,6.8,5.9,0.6,"5,515",503,5.5,9.2,0.8,"3,524",359,6.2,5.9,0.6,"1,305",208,9.7,2.2,0.3,39.8,1.0,1.5,,,"48,991","1,262",1.6,100.0,,"23,883",811,2.1,48.7,1.1,"25,108",769,1.9,51.3,0.8,"10,344",612,3.6,100.0,,"4,715",349,4.5,45.6,2.0,"5,629",384,4.1,54.4,1.8,"60,022","1,637",1.7,100.0,,"7,047","1,012",8.7,11.7,1.7,"1,855",595,19.5,3.1,1.0,"1,726",426,15.0,2.9,0.7,105,85,49.4,0.2,0.1,"3,361",752,13.6,5.6,1.2,"52,975","1,618",1.9,88.3,1.2,"29,363","1,213",2.5,48.9,1.5,735,321,26.6,1.2,0.5,0,,,0.0,,"22,034","1,390",3.8,36.7,2.1,0,,,0.0,,110,156,86.3,0.2,0.3,733,387,32.1,1.2,0.6,"22,133","1,392",3.8,100.0,,514,224,26.4,2.3,1.0,"19,557","1,366",4.2,88.4,2.7,158,98,37.6,0.7,0.4,119,146,74.4,0.5,0.7,81,77,57.5,0.4,0.3,211,160,46.0,1.0,0.7,"1,493",517,21.0,6.7,2.3
