,word,emotion,sentiment
0,2-faced,,negative
1,2-faces,,negative
2,a+,,positive
3,aback,,
4,abacus,trust,
5,abandon,fear,negative
6,abandoned,anger,negative
7,abandonment,anger,negative
8,abase,,negative
9,abasement,,negative
10,abash,,negative
11,abate,,negative
12,abba,,positive
13,abbot,trust,
14,abdicate,,negative
15,abduction,fear,negative
16,aberrant,,negative
17,aberration,disgust,negative
18,abeyance,,
19,abhor,anger,negative
20,abhorred,,negative
21,abhorrence,,negative
22,abhorrent,anger,negative
23,abhorrently,,negative
24,abhors,,negative
25,abidance,,positive
26,abide,,positive
27,abilities,,positive
28,ability,,positive
29,abject,disgust,negative
30,abjectly,,negative
31,abjure,,negative
32,ablaze,,
33,able,,positive
34,abnormal,disgust,negative
35,aboard,,
36,abode,,
37,abolish,anger,negative
38,abolition,,negative
39,abominable,disgust,negative
40,abominably,,negative
41,abominate,,negative
42,abomination,anger,negative
43,aboriginal,,
44,abort,,negative
45,aborted,,negative
46,abortion,disgust,negative
47,abortive,sadness,negative
48,aborts,,negative
49,abound,,positive
50,abounds,,positive
51,above,,positive
52,above-average,,positive
53,abovementioned,,positive
54,abrade,,negative
55,abrasion,,negative
56,abrasive,,negative
57,abroad,,
58,abrogate,,negative
59,abrupt,surprise,negative
60,abruptly,,negative
61,abscess,sadness,negative
62,abscond,,negative
63,absence,fear,negative
64,absent,sadness,negative
65,absent-minded,,negative
66,absentee,sadness,negative
67,absenteeism,,negative
68,absinthe,,
69,absolute,,positive
70,absolutely,,
71,absolution,joy,positive
72,absolve,,positive
73,absorbed,,positive
74,absorbent,,positive
75,absorption,,positive
76,absurd,,negative
77,absurdity,,negative
78,absurdly,,negative
79,absurdness,,negative
80,abundance,anticipation,negative
81,abundant,joy,positive
82,abuse,anger,negative
83,abused,,negative
84,abuses,,negative
85,abusive,,negative
86,abysmal,sadness,negative
87,abysmally,,negative
88,abyss,fear,negative
89,academic,trust,positive
90,academy,,positive
91,accede,,positive
92,accelerate,anticipation,
93,acceleration,,
94,accentuate,,positive
95,accept,,positive
96,acceptable,,positive
97,acceptance,,positive
98,access,,
99,accessable,,positive
100,accessible,,positive
101,accession,,positive
102,accident,fear,negative
103,accidental,fear,negative
104,accidentally,surprise,
105,acclaim,,positive
106,acclaimed,,positive
107,acclamation,,positive
108,accolade,anticipation,positive
109,accolades,,positive
110,accommodate,,positive
111,accommodation,,positive
112,accommodative,,positive
113,accomodative,,positive
114,accompaniment,anticipation,positive
115,accompany,,
116,accomplish,joy,positive
117,accomplished,joy,positive
118,accomplishment,,positive
119,accomplishments,,positive
120,accord,trust,positive
121,accordance,,positive
122,accordantly,,positive
123,accordion,,
124,accost,,negative
125,account,trust,
126,accountability,trust,positive
127,accountable,trust,positive
128,accountant,trust,
129,accounts,trust,
130,accredited,trust,positive
131,accrue,,positive
132,accueil,,positive
133,accumulate,,
134,accumulation,,
135,accuracy,,positive
136,accurate,trust,positive
137,accurately,,positive
138,accurateness,,positive
139,accursed,anger,negative
140,accusation,anger,negative
141,accusations,,negative
142,accusative,,negative
143,accuse,,negative
144,accused,anger,negative
145,accuser,anger,negative
146,accuses,,negative
147,accusing,anger,negative
148,accusingly,,negative
149,accustom,,
150,ace,,positive
151,acerbate,,negative
152,acerbic,,negative
153,acerbically,,negative
154,ache,sadness,negative
155,ached,,negative
156,aches,,negative
157,achey,,negative
158,achievable,,positive
159,achieve,joy,positive
160,achievement,anticipation,positive
161,achievements,,positive
162,achievible,,positive
163,aching,sadness,negative
164,acid,,negative
165,acknowledge,,positive
166,acknowledgement,,positive
167,acknowledgment,,positive
168,acme,,
169,acquaint,,positive
170,acquaintance,,positive
171,acquainted,,
172,acquire,,positive
173,acquiring,anticipation,positive
174,acquisition,,
